x,y
12,9
6,13
30,27
51,9
12,7
6,11
30,23
49,8
8,10
8,9
44,10
29,26
50,12
9,11
14,14
10,6
49,14
27,26
48,8
47,10
50,7
50,10
29,26
49,14
14,7
10,12
27,23
28,21
50,8
28,28
18,5
29,27
5,8
29,26
54,6
12,5
32,27
25,24
53,11
7,7
10,10
55,11
10,10
8,14
50,5
9,5
46,4
51,10
10,12
10,9
52,10
24,26
47,9
26,26
44,5
5,10
11,6
13,6
49,10
31,25
32,24
50,4
50,15
7,11
50,15
28,28
46,4
44,12
14,10
9,9
23,23
11,12
29,26
34,28
50,9
30,28
13,7
26,26
11,12
48,4
49,11
54,13
12,10
27,33
49,13
8,12
30,20
23,27
5,14
54,8
8,14
46,9
24,24
50,13
29,28
49,8
25,25
49,11
9,11
10,6
12,8
33,22
8,7
46,8
21,21
50,6
29,24
28,25
29,28
28,22
49,8
33,25
10,11
13,5
29,28
42,7
8,5
25,21
5,10
31,26
51,11
35,23
48,8
48,12
56,16
9,13
55,14
32,25
46,13
31,20
48,11
18,9
14,13
7,11
30,18
47,12
46,12
7,11
10,12
32,20
11,10
10,8
6,12
7,8
29,26
31,25
30,24
45,13
30,27
34,26
14,9
4,9
5,6
46,12
10,9
26,25
8,12
30,24
37,30
26,27
52,12
55,5
12,7
49,10
9,8
11,6
48,7
14,4
10,12
49,12
10,13
41,11
48,9
12,6
32,26
9,12
31,22
32,27
31,25
7,11
47,6
37,29
27,28
48,14
28,27
50,14
12,12
31,28
15,5
27,23
33,26
27,25
23,24
7,5
50,6
32,23
50,11
47,12
31,27
25,27
50,5
55,15
45,1
12,13
49,9
7,7
49,9
50,14
46,15
28,22
43,7
49,10
53,12
30,22
32,26
12,2
32,21
26,28
10,11
30,18
33,27
51,8
33,25
31,28
50,6
7,13
10,10
50,9
47,3
11,8
13,11
27,24
49,9
49,11
33,20
50,7
46,11
25,22
30,21
51,9
30,20
33,27
30,28
6,12
9,9
28,26
56,6
12,12
29,24
7,11
13,10
8,13
8,6
51,12
13,5
32,20
7,8
11,8
32,25
48,7
9,11
7,11
6,2
26,19
36,30
5,10
26,27
28,25
10,8
12,6
54,12
12,10
23,24
50,13
11,7
30,24
36,26
55,9
12,7
11,13
7,13
10,7
12,7
28,30
14,7
8,9
34,21
13,8
46,12
50,10
32,22
45,11
54,8
31,24
46,9
32,21
11,11
30,22
11,11
46,8
8,10
37,25
30,30
14,8
11,11
6,13
28,28
14,16
32,22
10,10
29,24
24,23
11,7
9,13
6,8
49,9
33,33
31,25
3,10
9,2
52,9
33,30
49,11
53,13
49,10
31,31
51,11
45,4
9,15
6,8
50,17
50,4
53,7
26,22
27,24
53,8
16,9
29,20
26,22
6,11
10,10
13,14
26,27
49,6
32,19
9,7
53,9
53,8
8,9
37,26
9,14
14,7
42,10
55,10
32,23
29,23
10,8
7,8
30,26
27,29
32,21
24,23
10,8
31,22
17,16
51,12
49,9
7,7
50,8
10,12
47,15
50,6
45,7
10,12
26,21
8,6
26,24
7,14
10,14
14,12
51,7
30,22
27,20
7,6
6,10
28,22
12,8
7,9
28,23
47,7
47,11
50,7
55,1
31,24
16,12
52,10
6,7
26,24
49,14
13,13
12,9
9,10
30,30
22,21
7,10
28,22
26,27
33,25
27,24
28,18
12,6
9,14
52,8
25,21
49,14
43,6
54,5
45,10
15,9
16,6
53,8
44,9
49,15
26,21
31,19
31,31
50,10
10,1
5,10
12,9
48,11
32,24
51,10
12,5
48,8
35,23
49,12
7,13
49,11
6,9
47,7
2,5
26,29
31,22
53,16
11,10
53,9
30,26
49,11
50,5
7,8
10,8
33,24
2,11
53,7
8,9
7,6
32,27
45,6
27,31
26,20
11,8
33,25
47,10
33,24
10,6
53,17
9,11
10,4
30,22
12,3
51,10
29,27
32,24
24,25
10,13
50,7
49,7
31,22
30,28
50,9
38,25
47,8
32,28
29,26
9,4
49,13
11,7
13,7
36,19
42,6
9,8
26,25
46,8
52,10
54,4
12,5
49,10
7,8
53,8
5,9
45,12
9,8
55,9
29,28
15,8
9,9
28,23
25,27
8,11
9,5
51,10
10,6
54,9
10,9
44,11
48,7
9,11
27,24
31,23
6,9
31,18
48,6
54,11
26,26
49,10
34,30
11,9
28,26
8,11
54,10
46,7
29,25
51,7
54,6
26,30
36,29
30,24
15,12
13,7
49,9
5,3
29,23
23,23
29,29
49,10
9,12
27,28
26,26
29,22
10,12
52,8
26,27
5,7
25,25
12,7
51,11
27,27
52,10
46,10
29,26
30,25
30,25
48,12
46,8
11,13
10,8
28,22
21,21
28,24
8,11
8,7
29,28
31,25
31,24
29,26
28,27
10,12
8,10
7,11
12,6
45,8
51,11
29,22
31,25
17,16
32,19
12,13
9,10
15,9
47,5
31,27
12,6
52,7
31,29
33,27
34,26
6,9
8,9
26,25
30,22
9,5
31,27
15,11
46,7
30,24
7,7
4,5
13,7
50,12
11,2
47,15
48,5
48,13
53,5
34,25
52,10
47,6
46,12
9,4
47,14
10,4
11,7
27,25
49,5
10,6
24,23
11,7
8,8
27,23
33,22
29,26
5,8
12,18
53,6
30,24
45,11
7,5
51,12
12,10
7,9
48,12
29,19
30,23
28,28
29,28
27,22
46,7
13,8
50,11
15,12
28,30
45,8
49,15
46,9
43,10
7,11
26,24
44,13
27,28
31,22
54,4
32,24
50,9
52,14
27,25
45,8
51,6
48,9
57,9
45,10
52,11
25,21
32,24
48,15
50,7
8,11
49,10
34,27
46,11
50,10
56,6
49,6
49,6
48,12
49,18
30,24
44,9
54,9
9,6
11,9
25,26
11,7
10,11
29,21
46,6
33,24
37,22
9,7
55,11
28,24
9,8
28,26
11,10
9,13
9,7
33,25
41,8
31,26
33,24
7,15
51,12
30,22
9,6
6,5
23,25
30,27
6,14
13,13
29,18
9,10
29,24
6,13
49,8
49,5
54,15
30,28
29,23
12,5
29,24
47,12
11,6
47,18
52,8
11,3
27,24
50,10
30,23
32,26
50,14
33,21
49,9
28,24
25,25
30,21
30,25
7,11
28,29
11,8
51,4
10,10
9,13
29,25
47,8
24,22
27,25
7,4
10,18
9,14
28,28
9,10
46,13
8,11
11,10
47,13
49,8
54,7
5,12
50,4
24,19
30,19
31,24
7,11
12,10
29,24
28,28
13,7
10,7
55,11
47,7
45,9
13,5
52,14
52,12
50,9
28,23
11,10
33,20
31,29
11,12
32,24
13,6
48,5
24,30
48,10
26,28
33,27
26,30
7,10
30,23
16,11
28,21
7,8
50,11
27,28
8,14
53,5
32,22
8,11
6,5
13,5
45,8
48,10
29,20
53,0
51,8
31,28
48,7
31,20
9,7
9,12
8,6
47,11
30,26
9,5
51,6
10,11
13,9
49,15
59,13
28,22
32,20
14,12
29,21
50,11
44,6
11,13
5,9
27,26
52,12
6,16
32,30
29,27
25,25
9,13
16,12
28,27
47,14
53,9
49,9
11,13
53,14
50,10
32,23
28,26
23,22
30,29
8,12
18,9
11,5
9,6
54,7
9,6
9,8
48,8
29,25
28,21
51,11
52,11
8,8
11,8
23,21
33,23
29,29
9,6
24,20
14,10
46,14
12,12
8,11
48,6
31,22
6,7
27,24
49,6
7,7
54,10
7,3
12,4
12,6
35,24
8,10
48,10
32,22
47,8
31,26
32,23
32,26
47,6
14,4
27,26
9,6
32,22
11,8
32,22
13,7
11,11
29,27
48,14
47,8
55,6
26,18
54,9
45,3
30,22
51,5
43,3
48,7
23,18
32,28
47,7
8,14
25,28
53,10
9,15
51,7
9,16
53,6
29,22
27,31
30,22
14,12
7,8
50,7
48,9
15,12
13,9
12,11
11,6
48,5
9,11
17,11
51,10
48,12
49,11
48,9
26,22
47,6
13,14
51,7
21,25
49,10
7,13
9,12
28,26
4,7
13,12
7,19
10,1
42,7
27,21
31,21
28,19
12,6
28,20
27,27
31,19
8,12
2,13
45,11
54,6
7,8
28,19
12,1
8,8
28,28
49,7
10,6
48,8
32,22
34,24
48,9
55,9
30,23
22,26
51,7
10,7
45,8
51,8
26,25
3,7
8,11
49,8
49,5
11,9
52,6
29,22
32,25
50,13
46,6
24,21
14,10
52,9
10,13
11,7
21,25
43,11
47,9
7,9
24,23
50,11
27,25
49,11
26,23
8,10
32,22
11,4
46,15
30,24
47,2
39,19
33,24
34,23
50,7
33,22
56,8
27,26
38,29
9,8
31,22
8,9
58,8
28,20
24,29
32,22
53,9
51,9
49,9
8,11
45,10
36,18
29,24
26,29
36,29
8,13
49,13
31,30
47,11
14,11
32,21
7,6
55,10
48,9
29,21
13,9
51,10
10,10
11,4
31,26
34,29
54,5
11,10
26,24
46,13
21,27
30,27
50,12
50,12
10,11
34,22
35,22
32,27
48,8
30,23
48,10
27,22
35,24
28,32
50,9
28,23
11,9
30,25
53,13
13,12
47,9
49,14
32,28
53,14
27,22
29,23
49,11
11,9
28,25
51,9
4,10
28,24
58,11
51,6
8,11
49,4
30,28
53,4
31,24
49,9
12,3
8,4
25,25
50,12
51,14
12,9
50,6
44,9
29,22
49,6
48,8
48,4
6,10
49,9
48,6
11,13
9,9
30,23
46,13
26,25
47,11
52,10
8,7
25,22
4,3
33,29
26,19
32,25
31,25
53,6
34,26
29,22
51,10
49,9
28,28
9,11
33,25
30,27
45,11
12,8
11,11
13,5
51,3
12,9
27,23
11,6
30,22
30,25
48,7
46,14
11,9
52,8
32,26
8,13
27,22
53,12
48,10
9,13
43,16
10,10
48,12
49,7
52,9
27,24
47,8
51,6
30,18
28,27
33,20
50,8
52,8
31,22
11,12
48,8
5,10
14,9
52,9
50,11
6,9
30,22
9,11
13,11
9,10
7,12
8,6
52,12
11,15
6,13
26,24
34,30
50,13
7,9
32,21
9,7
31,21
13,12
52,8
7,12
11,14
49,5
48,12
29,25
28,26
11,6
46,8
37,25
51,8
47,11
12,6
14,14
13,11
8,10
54,14
7,10
50,4
51,8
25,23
51,9
29,26
31,25
28,24
27,24
45,9
7,13
8,11
6,11
6,3
24,28
7,11
5,11
10,11
14,8
27,27
26,23
11,13
47,11
12,13
52,6
11,8
51,11
6,3
32,26
32,24
31,27
51,11
32,21
30,30
31,21
14,9
11,13
9,12
34,18
35,27
7,6
12,5
11,14
48,7
8,14
29,19
31,30
35,22
53,5
7,11
13,10
53,6
9,7
32,23
8,13
53,12
30,25
12,5
9,7
14,14
48,5
36,21
48,13
49,14
47,6
51,10
30,25
48,12
10,10
50,8
8,3
46,8
52,9
33,22
32,25
44,5
8,8
30,24
47,9
53,12
9,11
53,8
52,14
47,14
26,21
53,7
31,22
53,18
10,11
11,10
47,8
9,8
10,14
50,10
31,23
4,10
31,25
10,10
48,7
52,11
33,22
34,24
25,23
53,8
49,6
7,13
13,3
30,25
54,12
14,13
8,6
11,7
9,7
31,21
11,11
5,4
50,8
5,13
52,5
30,22
11,5
7,8
1,12
51,10
54,13
29,23
53,15
29,23
27,25
13,10
8,9
9,16
47,13
11,3
55,6
9,5
29,22
7,7
33,31
53,10
7,10
31,22
42,12
48,4
12,7
48,3
34,25
8,8
30,18
8,8
51,10
10,12
7,10
26,24
30,26
13,6
26,28
47,15
34,19
30,24
52,9
11,8
11,9
8,11
9,2
27,22
26,24
53,11
48,10
49,9
6,4
15,8
8,14
26,31
34,31
25,25
15,10
12,9
34,25
47,9
10,6
9,10
13,16
47,14
48,13
9,7
10,8
29,30
48,5
31,27
28,22
33,23
4,10
54,12
52,6
29,26
29,23
25,6
25,6
4,8
0,29
42,2
17,30
20,27
10,23
24,23
42,22
30,29
38,22
25,22
39,6
37,21
52,7
4,0
24,20
5,30
42,18
47,28
53,25
53,26
52,2
8,18
20,30
47,14
53,16
40,7
31,5
4,19
23,19
57,30
13,24
44,33
34,25
18,11
27,13
9,9
35,16
40,21
10,27
23,2
0,19
36,32
3,23
16,9
13,20
32,32
51,31
18,29
35,30
24,3
34,18
21,2
58,24
5,5
35,10
13,5
18,10
51,3
6,7
14,29
23,7
28,5
50,32
31,5
39,21
34,31
4,5
15,22
23,20
11,25
3,5
3,3
1,26
27,11
36,11
26,1
48,18
30,19
7,19
23,14
31,20
7,17
43,29
29,5
8,27
35,7
13,11
41,24
7,19
21,19
42,17
24,26
32,32
19,25
23,29
45,23
46,24
28,23
12,27
34,0
30,16
53,0
56,23
55,20
39,4
38,4
51,18
10,29
47,25
22,24
50,18
55,30
29,26
23,17
58,12
7,28
56,4
19,17
44,32
19,18
10,18
21,23
43,14
38,16
47,23
5,32
35,0
39,15
5,22
24,6
56,20
58,6
53,18
39,22
17,20
34,10
35,0
48,11
51,6
48,14
34,16
9,18
33,2
29,5
4,3
48,33
43,21
57,7
45,1
29,9
15,30
58,32
25,29
51,19
5,31
4,30
39,27
19,13
7,9
28,0
21,20
55,8
53,31
51,0
31,3
7,20
34,23
35,21
40,30
51,15
40,1
22,30
18,30
19,3
15,31
51,24
2,13
36,22
22,31
35,19
50,4
6,15
12,18
27,28
48,5
59,29
46,8
48,15
6,11
51,12
36,18
19,10
2,12
55,9
51,23
38,25
31,5
10,32
31,30
8,11
51,5
4,30
52,14
18,23
39,31
46,24
25,12
29,9
0,32
37,18
39,19
42,30
56,4
44,1
25,2
31,3
5,24
17,7
41,16
34,25
30,29
48,30
23,24
11,31
42,4
56,24
48,31
47,6
56,24
10,25
34,2
50,31
4,27
45,31
33,5
25,21
22,2
43,32
37,15
16,22
52,10
33,25
50,5
53,26
2,29
13,28
37,8
1,26
24,6
44,31
12,2
2,28
22,11
2,5
14,20
46,7
8,1
14,26
54,24
7,18
38,21
4,25
11,11
26,27
49,19
49,19
24,2
35,11
54,5
50,26
46,21
21,25
21,20
10,31
10,0
27,25
18,19
4,22
50,11
28,10
48,20
24,17
47,12
48,10
42,4
47,8
13,4
52,2
1,11
56,4
53,11
43,25
28,7
53,3
39,20
3,0
