x,y
7,37
30,7
33,39
10,33
54,21
40,39
37,32
36,39
33,12
13,13
9,33
52,19
12,37
5,11
28,34
9,12
33,34
12,33
7,9
11,10
50,16
41,35
28,8
9,33
35,33
5,30
32,35
15,2
50,24
8,35
31,13
36,34
36,36
49,23
54,24
25,11
35,11
4,11
52,21
15,9
31,14
50,16
50,21
8,36
39,41
13,6
8,33
35,29
47,23
14,34
47,20
8,5
10,37
5,35
8,35
9,9
6,31
52,23
35,32
54,16
50,19
40,33
30,9
12,36
52,21
51,28
12,10
8,10
54,20
53,17
30,13
11,34
10,7
30,12
49,19
35,30
11,39
29,37
36,32
8,33
9,33
8,11
26,11
51,17
9,10
47,17
27,10
11,11
11,9
36,35
11,6
51,16
9,41
26,12
28,6
7,34
10,16
7,6
11,7
48,23
29,17
12,35
9,40
9,10
32,10
11,37
52,25
13,7
32,34
25,14
26,31
33,35
42,38
11,15
9,9
28,10
30,10
28,30
28,15
7,10
52,19
9,33
45,20
29,10
26,4
8,15
35,13
34,33
36,34
32,36
31,10
8,5
17,34
5,11
32,13
7,33
50,21
53,19
33,32
34,30
9,31
9,34
46,22
11,38
52,21
49,16
13,8
53,18
57,18
6,10
12,34
13,36
28,7
24,9
29,8
47,23
13,14
5,28
11,8
50,20
9,9
30,36
26,37
49,20
50,24
35,29
7,37
30,14
7,31
13,38
10,38
31,7
29,10
52,22
17,8
46,13
34,35
8,32
14,9
50,21
14,9
49,22
38,38
13,32
9,38
40,31
9,12
34,33
52,25
8,11
11,12
11,36
10,8
49,17
10,12
47,19
12,8
33,36
30,34
11,8
30,13
29,8
33,12
49,15
51,19
30,9
32,36
8,42
10,36
11,34
13,31
26,11
51,16
9,33
40,37
45,17
37,35
10,39
35,36
8,36
52,18
48,15
41,35
12,31
32,7
36,10
30,14
-1,10
16,36
9,32
9,37
10,14
31,10
48,18
4,10
50,24
52,21
18,12
40,34
34,31
34,30
6,37
9,33
32,8
31,6
26,8
4,37
33,34
36,43
46,20
10,38
8,36
55,21
35,40
5,7
11,13
4,33
33,32
30,15
13,17
48,25
25,30
9,6
10,4
47,19
12,10
7,9
24,9
33,31
29,14
52,21
26,10
49,19
45,19
34,36
29,6
10,38
10,12
51,24
26,10
34,33
51,22
49,18
27,15
10,37
10,13
52,21
7,34
33,10
9,9
38,42
49,19
51,14
24,7
31,36
29,15
50,16
52,21
36,34
29,33
29,10
37,34
49,19
12,31
48,19
47,18
32,29
31,37
51,15
35,36
4,31
47,18
29,11
8,38
28,10
54,21
4,11
7,32
11,36
9,9
12,32
46,16
28,11
8,38
29,12
10,6
26,10
47,16
10,14
14,11
27,2
11,34
31,36
33,36
13,3
12,10
8,10
11,32
31,35
16,34
35,9
31,35
32,11
34,36
10,29
33,33
32,10
7,9
37,33
9,9
13,13
33,35
13,9
51,29
37,30
33,6
41,36
11,13
31,9
28,10
10,9
37,32
49,20
29,7
31,14
27,12
33,37
50,17
32,34
45,25
8,8
30,32
38,34
7,33
10,6
12,7
33,10
9,6
48,20
46,22
31,5
12,37
50,25
14,34
21,7
28,11
32,33
11,35
34,13
11,10
39,36
11,32
13,30
51,15
47,17
10,8
8,36
30,11
54,15
26,36
30,10
52,21
42,22
10,34
29,7
50,21
10,33
12,11
10,8
24,11
10,7
36,38
33,11
47,27
10,12
50,18
11,36
10,1
35,37
12,35
49,17
13,6
6,10
7,4
14,12
34,13
28,10
9,34
7,38
10,10
30,10
6,30
13,9
35,33
32,7
30,14
10,35
1,3
36,34
29,10
12,33
33,10
37,32
11,12
52,21
51,21
10,36
6,33
49,20
38,33
31,8
36,32
25,8
30,38
48,23
29,4
49,17
26,5
9,35
11,38
14,8
9,12
50,22
14,5
32,36
36,11
36,14
40,35
15,35
8,34
46,21
15,34
13,4
31,4
8,7
49,20
29,7
33,41
30,14
31,38
49,19
27,13
51,18
31,31
9,9
30,34
8,31
52,18
10,33
15,11
39,34
12,29
49,18
11,15
50,16
34,32
54,25
8,11
29,32
49,24
27,11
37,33
49,21
39,37
6,35
4,9
31,12
7,38
3,36
11,39
4,11
13,9
47,20
8,12
30,10
11,7
34,31
37,36
12,6
35,39
48,19
5,15
37,34
34,40
52,24
13,39
32,36
26,10
26,5
31,34
29,11
28,11
36,34
27,9
48,19
12,15
35,39
9,36
7,34
8,37
9,28
31,38
27,10
38,34
50,13
30,34
44,18
35,37
50,19
49,18
9,33
32,34
12,30
12,36
46,15
37,32
34,31
35,33
48,18
13,9
36,38
50,18
13,36
54,19
11,10
34,34
29,8
54,15
48,20
35,13
8,14
38,35
13,9
34,34
52,18
38,32
12,7
7,9
50,20
50,20
39,38
7,33
27,7
35,34
9,12
8,35
29,10
28,10
8,8
10,35
34,35
48,23
10,29
37,33
33,9
10,10
37,31
51,19
45,16
11,28
46,20
9,5
33,35
27,7
52,23
36,39
9,16
35,7
12,14
12,12
44,21
6,16
29,12
52,21
30,2
9,11
48,19
11,36
14,31
28,10
35,34
54,19
9,34
31,32
49,15
14,42
11,39
13,28
43,16
9,10
55,17
6,34
14,29
33,34
23,8
56,18
6,10
8,40
6,13
10,37
33,38
8,39
10,10
7,32
55,21
30,33
31,35
48,24
34,39
9,33
12,12
34,9
46,19
6,33
10,7
7,16
21,10
9,15
37,39
43,14
54,23
30,17
4,9
11,33
9,10
32,35
26,9
53,21
35,37
26,15
30,10
36,34
49,21
13,30
47,16
51,20
11,36
10,12
44,28
8,10
8,38
28,5
8,35
7,8
54,23
48,19
9,37
34,33
12,36
8,12
8,35
32,13
47,23
33,32
12,10
30,10
54,22
12,38
13,37
12,11
31,36
50,26
32,34
50,17
46,18
10,10
6,36
11,30
18,3
35,11
52,19
24,16
48,20
30,9
6,15
10,32
35,34
41,34
11,12
33,12
42,23
13,10
8,34
49,19
4,39
27,8
28,12
27,34
46,18
10,34
30,11
7,15
29,10
5,33
10,35
32,34
34,31
9,11
49,16
33,35
10,8
8,31
35,8
27,9
49,19
14,5
13,10
46,19
37,35
35,39
13,33
12,10
55,23
10,7
14,12
9,7
11,34
29,8
46,18
27,33
56,17
26,5
10,31
10,6
11,13
22,10
46,11
33,8
11,38
9,13
11,9
33,31
12,6
25,13
38,38
48,17
7,38
12,37
52,17
48,22
8,10
56,12
11,38
10,34
7,40
8,11
7,29
13,9
13,9
6,7
7,10
31,34
6,32
46,15
38,40
13,33
51,19
27,7
32,10
34,37
24,14
24,9
27,7
31,8
28,16
12,9
48,19
10,37
36,9
35,7
45,19
27,3
57,22
34,29
51,20
33,30
27,11
13,37
48,19
29,6
7,35
36,36
15,31
29,18
13,9
8,4
33,34
39,37
9,7
51,17
7,36
11,11
48,19
8,40
18,34
53,22
6,36
31,36
15,8
10,33
9,32
11,34
30,6
29,7
11,8
8,12
37,36
9,7
26,8
13,10
31,13
52,13
34,36
7,13
9,9
9,7
16,32
10,33
32,33
39,30
31,10
31,33
10,9
38,35
10,34
10,34
4,33
50,19
10,36
29,13
26,9
4,34
8,35
53,18
28,38
8,40
38,37
27,14
28,13
32,14
34,12
14,11
32,40
11,13
49,17
48,17
34,26
30,35
32,11
41,37
49,21
8,35
6,28
49,19
47,14
12,38
33,14
28,9
35,30
55,19
30,13
11,35
30,9
8,6
10,1
35,33
48,18
24,6
48,24
14,7
50,19
30,13
53,25
10,7
45,20
3,38
35,37
12,9
26,7
32,33
11,33
48,24
6,11
31,8
31,33
8,36
49,16
27,9
31,26
45,19
9,12
30,8
36,38
38,34
32,33
26,8
9,36
10,33
10,13
28,12
11,32
50,22
4,35
9,39
36,33
9,12
53,18
14,10
11,33
49,26
25,11
14,7
29,9
13,7
50,20
54,23
31,12
16,31
11,41
51,18
29,8
6,6
31,8
39,36
6,8
53,17
52,18
48,21
27,7
36,9
31,12
12,16
35,39
49,23
10,35
51,23
16,10
27,6
10,34
49,12
7,39
14,33
28,38
31,2
31,12
33,5
33,33
30,10
10,35
10,8
8,10
10,34
34,9
27,7
6,15
30,7
12,38
38,36
46,20
39,32
48,19
8,35
46,23
2,12
50,16
31,10
47,23
53,22
35,36
31,7
36,37
29,8
29,8
9,10
4,31
8,15
28,8
47,15
49,22
37,34
9,30
16,34
27,9
16,9
34,28
35,37
12,10
53,25
26,11
35,35
51,24
9,34
34,37
49,21
7,9
11,35
34,32
14,34
28,13
50,20
10,8
27,10
11,9
13,9
46,15
31,40
46,19
51,18
11,8
25,10
29,9
6,13
27,12
11,10
38,37
10,35
34,29
14,41
46,17
27,6
13,33
36,37
10,33
29,13
10,14
30,33
6,38
52,13
2,6
15,33
8,12
50,17
36,38
50,23
5,0
33,5
30,34
49,19
27,35
48,24
44,25
12,6
15,38
37,32
10,38
33,15
11,10
12,13
39,41
7,35
41,30
40,38
51,16
12,10
37,36
28,13
29,4
27,7
32,7
13,36
29,5
36,32
11,35
9,13
44,24
29,35
3,36
33,18
45,22
35,32
11,37
31,34
29,12
11,32
28,34
46,15
46,20
32,36
10,32
9,30
37,37
31,33
8,35
13,37
46,26
10,5
51,25
48,17
49,17
32,38
25,12
8,11
30,10
5,12
32,42
43,21
1,34
30,12
48,22
31,17
33,34
44,15
29,10
37,34
13,14
12,38
9,8
29,14
6,33
31,11
5,37
9,6
33,31
30,12
36,36
9,9
49,21
12,37
11,7
32,32
35,33
56,18
31,10
52,23
24,6
7,8
26,10
13,6
11,35
57,27
0,43
4,13
23,2
25,11
20,25
4,12
54,9
36,0
38,2
40,25
9,7
6,39
13,4
15,38
33,30
26,36
48,10
2,22
55,17
57,21
57,6
36,29
24,38
35,16
27,30
50,11
53,4
54,6
15,36
14,25
42,25
18,21
25,20
54,31
11,5
36,3
13,39
43,41
2,22
16,14
40,6
2,16
24,6
34,3
1,30
24,12
17,28
3,14
8,10
30,11
21,2
44,6
29,11
27,37
1,41
16,42
20,24
8,5
22,33
0,30
7,1
24,17
33,15
41,8
40,32
9,41
28,42
19,6
9,16
31,36
12,41
18,42
37,43
30,37
29,23
25,28
18,24
15,11
34,18
53,14
50,7
32,43
55,32
34,33
33,6
45,30
42,34
1,11
49,38
38,33
13,33
7,14
54,38
32,32
45,9
12,21
26,0
51,28
46,12
30,16
44,28
18,19
13,38
24,19
8,39
36,43
19,11
29,38
48,11
19,6
54,43
24,9
32,8
9,9
37,3
26,20
32,29
29,29
39,33
49,6
52,35
39,19
2,11
8,2
18,18
57,7
9,9
4,33
56,15
40,1
36,9
32,29
44,14
45,17
7,27
55,17
23,40
44,42
29,23
8,22
25,6
35,28
19,42
21,26
25,19
52,10
26,30
27,14
26,0
49,15
19,17
57,21
3,10
21,38
3,22
52,25
53,43
37,1
17,41
28,19
31,22
19,36
57,35
16,14
19,25
10,14
35,4
50,11
50,14
9,22
47,27
9,12
7,1
22,7
36,43
36,26
42,40
1,21
9,15
49,22
9,33
0,13
27,22
51,19
28,8
34,39
41,9
10,18
45,32
54,38
0,5
11,41
44,43
25,32
40,9
24,1
29,40
25,31
6,1
23,42
45,33
30,39
54,8
37,1
15,24
23,7
19,16
43,34
13,4
2,0
42,12
30,23
48,2
18,13
47,28
35,26
14,40
16,36
13,19
25,29
30,33
45,32
39,0
24,31
41,22
53,12
3,38
9,33
45,42
2,8
9,7
50,43
3,23
37,16
11,15
13,3
53,34
53,14
21,24
42,26
42,21
51,35
0,33
20,43
1,24
43,21
30,15
24,13
57,0
19,41
51,35
53,0
48,4
29,10
46,26
48,7
45,36
27,6
43,4
55,14
36,10
43,32
29,26
17,7
40,37
1,11
31,20
36,7
36,8
54,20
20,15
15,35
57,15
4,21
27,42
14,23
7,36
0,4
20,37
38,37
22,9
12,22
47,8
39,6
28,28
57,8
21,20
14,36
48,20
24,27
12,18
28,19
40,6
3,9
45,38
2,40
41,39
25,5
